word,probability
about,0.002085842
other,0.001663732
which,0.001378134
their,0.001331095
there,0.001192214
first,0.00098306
would,0.000973679
these,0.00091988
click,0.000912641
price,0.000852968
state,0.000770423
email,0.000754857
world,0.000734427
music,0.000703982
after,0.000634132
video,0.000621314
where,0.000612912
books,0.000591219
links,0.000577984
years,0.000574439
order,0.000572381
items,0.000561965
group,0.000547236
under,0.000532705
games,0.000520181
could,0.000514026
great,0.000512625
hotel,0.000506653
store,0.000495319
terms,0.000472189
right,0.000465242
local,0.00046035
those,0.000459111
using,0.00045815
phone,0.000436377
forum,0.000432695
based,0.00042917
black,0.000416052
check,0.000415713
index,0.000412883
being,0.000412809
women,0.000412363
today,0.000406838
south,0.000405665
pages,0.000397877
found,0.000394485
house,0.000393302
photo,0.000386186
power,0.000385287
while,0.000384604
three,0.000379881
total,0.000378576
place,0.00037572
think,0.000370426
north,0.000370346
posts,0.000368667
media,0.000368005
water,0.000365873
since,0.000364384
guide,0.000362812
board,0.000361082
white,0.000356836
small,0.000354299
times,0.000345082
sites,0.00034475
level,0.000344423
hours,0.000337077
image,0.00033645
title,0.000334412
shall,0.0003264
class,0.000324911
still,0.000323798
money,0.00032341
every,0.000321915
visit,0.000318066
tools,0.000315505
reply,0.000314182
value,0.000309563
press,0.000305467
learn,0.000305086
print,0.000303084
stock,0.000299759
point,0.000298454
sales,0.000294571
large,0.000282022
table,0.000281134
start,0.000275305
model,0.000274102
human,0.000273027
movie,0.000269367
march,0.000269129
yahoo,0.000264797
going,0.000264033
study,0.000260112
staff,0.000257689
again,0.000256377
april,0.000255009
never,0.000254295
users,0.000253892
topic,0.000253351
below,0.00024774
party,0.000246049
login,0.000245187
legal,0.000241529
above,0.000241266
quote,0.000236756
story,0.000235382
rates,0.000233096
young,0.000231825
field,0.000230035
paper,0.00022944
girls,0.000224996
night,0.000221945
texas,0.00022002
poker,0.000219435
issue,0.000218367
range,0.000218177
court,0.000217165
audio,0.000215966
light,0.00021543
write,0.000215337
offer,0.00021463
given,0.000213463
files,0.000213432
event,0.000213416
china,0.000211642
needs,0.000210153
might,0.000209473
month,0.000209187
major,0.000208446
areas,0.000207416
space,0.000206598
cards,0.0002059
child,0.000203609
enter,0.000203008
share,0.000202839
added,0.000201336
radio,0.000192622
until,0.000192289
color,0.000192078
track,0.000191091
least,0.000189126
trade,0.000187183
david,0.000185449
green,0.000184124
close,0.000183385
drive,0.000183294
short,0.000181518
means,0.000180143
daily,0.000179958
beach,0.000179626
costs,0.000171887
style,0.000171774
front,0.000171539
parts,0.000171116
early,0.000170055
miles,0.000170053
sound,0.000170051
works,0.000167621
rules,0.000166051
final,0.000166035
adult,0.000165923
thing,0.000165699
cheap,0.000165016
third,0.000162362
gifts,0.000162232
cover,0.000160683
often,0.000157367
watch,0.000156441
deals,0.000155052
words,0.000154576
linux,0.000154481
james,0.00015394
heart,0.000153453
error,0.000152003
clear,0.000150389
makes,0.000149339
india,0.000148594
taken,0.000147962
known,0.0001469
cases,0.000146662
quick,0.000145521
whole,0.000144872
later,0.000144286
basic,0.000144256
shows,0.000144195
along,0.000141883
among,0.00014186
death,0.000141495
speed,0.000141357
brand,0.000140799
stuff,0.000138482
japan,0.000137914
doing,0.000137423
loans,0.000137422
shoes,0.00013731
entry,0.000137246
notes,0.000135955
force,0.000134665
river,0.00013406
album,0.000132479
views,0.000131491
plans,0.000131427
build,0.00013127
types,0.000131045
lines,0.000130595
apply,0.000129805
asked,0.00012843
cross,0.000126216
weeks,0.000125096
lower,0.000123455
union,0.00012345
names,0.000122285
leave,0.000120651
teens,0.000120484
woman,0.000120066
cable,0.000119163
score,0.000117858
shown,0.000116907
flash,0.000116288
ideas,0.000114448
allow,0.000114011
homes,0.000113502
super,0.000113417
asian,0.000112354
cause,0.000112059
focus,0.000111587
rooms,0.000111292
voice,0.000109842
comes,0.000109257
brown,0.000109011
forms,0.000108075
glass,0.000108072
happy,0.000107923
smith,0.000107729
thank,0.000107519
prior,0.000107034
sport,0.000106583
ready,0.000106555
round,0.000105142
built,0.000104575
blood,0.000104312
earth,0.000103821
nokia,0.000103779
italy,0.000102496
basis,0.000101852
award,0.000101428
peter,0.00010124
extra,0.00010096
pussy,0.00010067
rated,0.000100492
quite,9.9941E-05
horse,9.93901E-05
stars,9.92184E-05
lists,9.90424E-05
owner,9.89401E-05
takes,9.82517E-05
bring,9.79522E-05
input,9.72442E-05
agent,9.70946E-05
valid,9.70793E-05
grand,9.62373E-05
trial,9.61492E-05
units,9.60891E-05
wrote,9.59348E-05
ships,9.58392E-05
metal,9.55271E-05
funds,9.47451E-05
guest,9.40162E-05
seems,9.39881E-05
trust,9.37849E-05
multi,9.37412E-05
grade,9.22851E-05
panel,9.14507E-05
floor,9.1409E-05
match,9.10224E-05
plant,9.0538E-05
sense,8.94873E-05
stage,8.9298E-05
goods,8.92791E-05
maybe,8.82392E-05
spain,8.76571E-05
youth,8.74411E-05
break,8.71295E-05
dance,8.6968E-05
apple,8.59532E-05
enjoy,8.52566E-05
block,8.4497E-05
civil,8.4158E-05
steel,8.40853E-05
songs,8.37792E-05
fixed,8.3682E-05
wrong,8.35824E-05
hands,8.34649E-05
paris,8.30291E-05
fully,8.26642E-05
worth,8.17433E-05
peace,8.13709E-05
coast,8.11332E-05
grant,8.09516E-05
agree,8.07668E-05
blogs,7.98781E-05
scale,7.87377E-05
stand,7.87125E-05
frame,7.83508E-05
chief,7.7704E-05
gives,7.76182E-05
heard,7.72567E-05
begin,7.72539E-05
royal,7.72068E-05
clean,7.71635E-05
bible,7.66517E-05
suite,7.62248E-05
vegas,7.61925E-05
chris,7.6097E-05
piece,7.53222E-05
sheet,7.5316E-05
seven,7.51965E-05
older,7.51917E-05
cells,7.50319E-05
looks,7.46391E-05
calls,7.42388E-05
whose,7.41923E-05
naked,7.33025E-05
lives,7.26888E-05
stone,7.2255E-05
tests,7.1985E-05
buyer,7.14555E-05
steve,7.14088E-05
label,7.0325E-05
scott,7.02684E-05
canon,6.99593E-05
waste,6.98654E-05
chair,6.93119E-05
phase,6.92421E-05
motor,6.90597E-05
shirt,6.88663E-05
crime,6.86279E-05
count,6.86008E-05
claim,6.8158E-05
patch,6.80124E-05
santa,6.74431E-05
alone,6.68675E-05
jones,6.68177E-05
saint,6.6192E-05
drugs,6.60186E-05
joint,6.60185E-05
fresh,6.59417E-05
dates,6.53642E-05
upper,6.51929E-05
prime,6.51366E-05
limit,6.51058E-05
began,6.50704E-05
louis,6.50529E-05
steps,6.50446E-05
shops,6.50225E-05
creek,6.48833E-05
urban,6.47618E-05
tours,6.45391E-05
labor,6.43851E-05
admin,6.43323E-05
heavy,6.4048E-05
solid,6.3637E-05
theme,6.32858E-05
porno,6.27852E-05
touch,6.26246E-05
goals,6.25153E-05
serve,6.23981E-05
magic,6.23623E-05
mount,6.23138E-05
smart,6.22939E-05
latin,6.21438E-05
avoid,6.20757E-05
birth,6.1698E-05
virus,6.16979E-05
abuse,6.16701E-05
facts,6.12823E-05
faith,6.11037E-05
chain,6.10898E-05
moved,6.07244E-05
reach,6.06809E-05
sorry,6.05243E-05
gamma,6.02366E-05
truth,6.00994E-05
films,5.98514E-05
owned,5.95967E-05
draft,5.95684E-05
chart,5.9558E-05
jesus,5.93906E-05
clubs,5.93102E-05
equal,5.92262E-05
codes,5.86671E-05
kinds,5.86307E-05
teams,5.84626E-05
funny,5.82901E-05
tried,5.8154E-05
named,5.79802E-05
laser,5.79482E-05
harry,5.75864E-05
taxes,5.72578E-05
mouse,5.72447E-05
brain,5.71525E-05
dream,5.69923E-05
FALSE,5.69207E-05
falls,5.64736E-05
stats,5.62749E-05
carry,5.62066E-05
hello,5.60432E-05
clips,5.58496E-05
brief,5.54299E-05
ended,5.54115E-05
eight,5.53756E-05
wants,5.53254E-05
alert,5.52141E-05
queen,5.5034E-05
sweet,5.49406E-05
diego,5.48159E-05
truck,5.46419E-05
votes,5.45117E-05
ocean,5.42891E-05
signs,5.42393E-05
depth,5.42061E-05
train,5.40991E-05
feeds,5.37195E-05
route,5.34568E-05
frank,5.3377E-05
anime,5.3279E-05
speak,5.32621E-05
query,5.31934E-05
rural,5.27081E-05
judge,5.25498E-05
bytes,5.24522E-05
fight,5.23432E-05
filed,5.2232E-05
korea,5.20007E-05
banks,5.19995E-05
kelly,5.18772E-05
leads,5.18722E-05
brian,5.11126E-05
miami,5.08478E-05
wales,5.07062E-05
minor,5.064E-05
noted,5.05923E-05
spent,5.05326E-05
davis,5.04814E-05
helps,5.03431E-05
cycle,5.03045E-05
sleep,5.01451E-05
scene,4.99425E-05
drink,4.97428E-05
intel,4.93019E-05
rings,4.90166E-05
henry,4.89167E-05
guess,4.88731E-05
ahead,4.82472E-05
devel,4.78685E-05
delta,4.76972E-05
cisco,4.74293E-05
alpha,4.73248E-05
bonus,4.73021E-05
adobe,4.68247E-05
trees,4.65516E-05
dress,4.6451E-05
refer,4.60782E-05
babes,4.59359E-05
layer,4.57595E-05
spend,4.54212E-05
clock,4.52708E-05
ratio,4.4987E-05
proof,4.4727E-05
empty,4.45586E-05
maine,4.42931E-05
ideal,4.42701E-05
specs,4.42579E-05
parks,4.41657E-05
cream,4.40362E-05
boxes,4.38474E-05
hills,4.38176E-05
aware,4.36988E-05
shape,4.36561E-05
irish,4.3627E-05
firms,4.33536E-05
usage,4.32569E-05
mixed,4.31797E-05
exist,4.31017E-05
wheel,4.30911E-05
angel,4.30081E-05
width,4.28183E-05
noise,4.27997E-05
array,4.27631E-05
greek,4.26086E-05
sharp,4.23451E-05
occur,4.19626E-05
knows,4.18961E-05
coach,4.16833E-05
kevin,4.16777E-05
plate,4.12762E-05
logic,4.07905E-05
sizes,4.03849E-05
plain,4.03779E-05
costa,4.03013E-05
